date,domestic_price,industrial_price,gdp
Q1 2001,50.65941713,63.14692595,457680
Q2 2001,52.13343989,61.80951896,459620
Q3 2001,52.2968676,57.7097847,462016
Q4 2001,52.46502473,65.49985279,463404
Q1 2002,54.15095369,67.80678259,464698
Q2 2002,54.13097575,56.2075774,466935
Q3 2002,54.03598513,51.19186877,470277
Q4 2002,53.53097592,60.62896432,473899
Q1 2003,53.52308297,64.21870178,477357
Q2 2003,53.49969556,55.09085524,481552
Q3 2003,53.87858756,50.81549158,485973
Q4 2003,54.10806646,68.25921947,490059
Q1 2004,55.03129223,66.25613104,492014
Q2 2004,55.58308969,55.35684474,494824
Q3 2004,55.87466228,58.28751402,496642
Q4 2004,57.75795643,75.62306689,499020
Q1 2005,60.97706934,88.84060708,502702
Q2 2005,60.86076513,74.84535977,506906
Q3 2005,61.27614109,76.76790795,511132
Q4 2005,65.87364833,129.4052562,515935
Q1 2006,68.61994299,145.7990758,518495
Q2 2006,77.38823706,98.39033276,520318
Q3 2006,81.89865996,92.19933222,521780
Q4 2006,89.9307527,109.8564814,524569
Q1 2007,92.09610596,100.0584104,529398
Q2 2007,84.93545824,71.33142967,533187
Q3 2007,79.61386589,75.04637432,537052
Q4 2007,78.52093737,105.4010111,540258
Q1 2008,84.72734668,115.4784246,542804
Q2 2008,88.64741944,122.9588153,539918
Q3 2008,99.80912816,124.7462868,531619
Q4 2008,112.8476948,145.7567137,520230
Q1 2009,111.3840597,142.4546061,509646
Q2 2009,106.8031232,100.3784096,508009
Q3 2009,105.8498183,83.75415529,508398
Q4 2009,106.4127567,98.92667377,509889
Q1 2010,103.0384128,101.3553358,514595
Q2 2010,98.93671995,90.51372642,520128
Q3 2010,98.68073879,97.97489936,523173
Q4 2010,99.61644645,110.2132705,523515
Q1 2011,102.3661534,117.9264599,524955
Q2 2011,103.4078954,118.4836973,525418
Q3 2011,108.4332521,115.1446221,527034
Q4 2011,119.8091635,126.4831957,527698
Q1 2012,118.8475807,129.7467324,532300
Q2 2012,117.2948706,125.8896393,531663
Q3 2012,116.7105873,121.45566,536720
Q4 2012,119.5222903,136.266976,536188
Q1 2013,124.1264548,144.7610148,537974
Q2 2013,124.3492615,136.6274341,541586
Q3 2013,123.4416026,134.1875092,546064
Q4 2013,126.0176585,140.1244263,549709
Q1 2014,129.8811068,137.0612321,554183
Q2 2014,129.2968738,121.0115024,559331
Q3 2014,127.7484082,109.3595374,563694
Q4 2014,128.0551271,126.4386604,567619
Q1 2015,125.5783236,122.424371,569150
Q2 2015,122.815925,111.6087464,572673
Q3 2015,121.2754965,103.3341722,574836
Q4 2015,118.8740837,103.7232452,578068
Q1 2016,116.5990884,99.33833198,580110
Q2 2016,112.4660828,86.4630126,583383
Q3 2016,111.2822293,83.66203161,585856
Q4 2016,110.5067434,95.93109399,589476
Q1 2017,109.6509149,101.5777052,594423
Q2 2017,109.2883615,90.82051641,598176
Q3 2017,109.8687137,89.93187491,601961
Q4 2017,108.8630504,98.07341172,606396
Q1 2018,108.9717301,107.1831268,606785
Q2 2018,109.5028736,106.32943,607775
Q3 2018,112.4530218,111.7381617,609653
Q4 2018,114.6548795,115.8934845,610481
Q1 2019,104.9480421,112.6688134,614936
Q2 2019,113.6239316,97.08571993,616853
Q3 2019,113.1222807,91.65683327,621227
Q4 2019,102.650542,101.0815593,621229
Q1 2020,101.7569573,101.0659932,604719
Q2 2020,91.34748913,78.27760254,481769
Q3 2020,94.99403622,78.60772034,562648
Q4 2020,83.91900324,93.71333943,570338
Q1 2021,83.03842608,102.6884932,564411
Q2 2021,92.20455714,109.5537489,605353
Q3 2021,91.61913138,132.3738067,615459
Q4 2021,106.0324461,159.8032601,624592
Q1 2022,104.6072138,176.7866044,629149
Q2 2022,170.7194566,198.7835443,631258
Q3 2022,168.209473,230.3175887,631977
Q4 2022,224.7093023,212.187923,634044
Q1 2023,221.6341249,201.801183,634428
Q2 2023,215.7025437,239.4244542,634694
Q3 2023,159.7795439,216.1940725,634327
Q4 2023,148.2470927,235.6100066,633011
Q1 2024,156.4671561,222.8603823,638746
Q2 2024,130.8775424,184.2967187,641670
Q3 2024,118.5356789,178.7656682,641675
Q4 2024,131.0771092,188.494133,642287
